time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.0,28.37545219,-4.46062124,-4.92908195,-0.6366362,0.62708489,-0.70073531,43.84326489,7.02240106,-16.42970097,20.21992253,-8.56846248,2.48574024,0.0,49.86287243,-2.8952661,-7.28533907,31.84071733,6.11394729,8.80484703,0.0,-36.58127658,-1.34069907,-0.39936295,-11.5071203,-16.5963306,-0.3469208,92.49413362,100.2811105,75.24088193,-8.61932264,16.03988551,54.66629994,95.57220086
0.0166667,23.90190406,-5.21754166,-7.31866533,-0.638039,0.62434657,-0.69652034,48.21589593,10.41650367,-12.64249629,18.30794551,1.67052964,14.27028468,0.0,53.34559078,-3.85135062,-8.1279949,29.97502713,5.55768944,3.50054225,0.0,-32.98327427,-1.67380489,7.93543301,-11.3543553,-16.82532406,-4.12716186,93.96257409,99.03627296,74.22044497,-7.35184058,14.25704223,65.15083965,95.51441258
0.0333333,19.34150901,-3.69165077,-9.22148048,-0.63053369,0.62203106,-0.69674559,53.88035987,10.18586881,-13.09866181,20.95543279,2.23034567,17.79727621,0.0,57.77659418,-2.56163195,-6.18621792,31.05986343,4.90174198,0.34552329,0.0,-29.60961687,-2.26490814,13.28159429,-9.25588508,-18.07611283,-6.5996189,96.66365382,98.1587788,72.59426406,-9.43816557,10.2038093,78.02235641,94.70587422
0.05,16.80527102,-3.0921883,-10.02581404,-0.61783762,0.61535145,-0.69825726,57.34868538,10.44097912,-12.95575429,23.10275991,1.85564248,19.50429713,0.0,60.87730116,-2.45724069,-5.02206778,31.80610323,4.29627055,1.29317692,0.0,-27.30116942,-2.12295524,16.399824,-3.76507397,-19.945352,-6.29344577,95.14167053,97.69231314,74.94738781,-11.70985877,8.45884038,86.42720727,93.26500625
0.0666667,15.79897419,-2.41554635,-9.39676871,-0.62462415,0.61457523,-0.69779027,58.9599882,9.64652371,-11.44592921,24.42760096,2.21109605,18.3286082,0.0,62.94806604,-1.07717568,-3.99460641,32.56796685,2.23301348,1.12962909,0.0,-26.09949938,-2.44109333,16.70094489,4.90435639,-20.65710647,-3.32922386,89.4193168,97.45651024,80.83995967,-13.4660903,10.74117658,87.19478623,91.41251
0.0833333,15.0490467,-2.30095995,-8.92415573,-0.61875604,0.6148166,-0.69999336,60.34598964,9.17837003,-10.62718083,26.25364376,2.22064513,17.3913362,0.0,63.69074379,-0.49997512,-3.35003854,32.40889025,1.11197929,0.72201771,0.0,-25.8351296,-2.08082772,18.51473812,10.74730628,-20.74537668,-3.73816145,85.95648259,97.12181588,85.65899566,-12.81545824,11.56687208,88.18377803,90.57283632
0.1,14.61687911,-2.36696202,-8.08870031,-0.62270289,0.61080997,-0.69835978,61.29002416,8.55752808,-10.65180127,26.94706925,2.38487108,18.17489008,0.0,64.28665878,-0.21831614,-3.53873571,31.61697324,-0.67588294,1.12174277,0.0,-26.25477179,-1.86194133,19.57434148,17.21681435,-21.21207001,-1.85446078,83.04685049,96.24677265,92.3166399,-11.83423971,13.84486129,87.60620671,88.95206882
0.1166667,15.47231341,-1.7187917,-7.04219179,-0.62205041,0.61259326,-0.69585077,60.43182178,7.57164242,-10.34664779,25.78209042,1.00111001,19.51280347,0.0,62.8326817,0.6403272,-4.42929422,29.67841537,-1.86071601,2.04059625,0.0,-28.00033076,-2.57770661,20.2663167,24.4302245,-21.00281652,-1.25464553,79.75800534,95.62607524,98.85988067,-10.13011869,15.15805917,86.76765475,88.15073101
0.1333333,15.14370821,-1.35778757,-6.37511847,-0.61932583,0.61295255,-0.69305535,60.45514056,6.97274743,-10.87892598,26.39508523,3.03288302,20.36435172,0.0,62.97026405,1.13818615,-4.51053468,28.51714339,-3.6469269,2.72121406,0.0,-28.54031274,-2.85901908,21.51853281,30.64577011,-19.67395215,-2.09610718,75.9287375,94.97531252,103.84625903,-7.94487942,16.51618504,86.4635186,87.67554431
0.15,14.39242036,-0.47263439,-5.06511325,-0.61438846,0.61925508,-0.69246852,60.54363719,5.70015584,-10.56494836,25.69420331,3.42987415,21.43486137,0.0,63.65708237,2.17560061,-4.81928214,29.01940509,-3.31264979,2.59949334,0.0,-28.65698769,-3.09135489,23.28612037,34.7600168,-19.67457629,-4.34231222,73.17892285,94.48697835,107.23604857,-5.24888085,17.39502906,87.28897967,87.55107869
0.1666667,12.99746517,-0.24307444,-4.18156137,-0.60112491,0.6151004,-0.69466655,61.84022075,5.04382681,-10.75447719,26.33276663,4.9165003,23.04401276,0.0,64.7767375,2.98899707,-4.72948905,28.63809043,-3.01209657,2.74013956,0.0,-27.49215731,-2.99112604,24.81014802,37.60731892,-19.53934444,-6.40762617,70.97039449,93.90491095,110.38920954,-2.20516971,18.89652113,87.80661402,87.56182799
