time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.0,24.81002037,-3.86114074,7.0797326,-0.0326672,0.40265149,-0.12076512,80.9690483,-11.85202579,-5.35772465,68.04778489,15.21090621,3.37631214,0.0,74.09880946,4.04883363,0.78786262,52.88795264,-5.42566785,-11.54427039,0.0,-71.17377965,1.16805685,20.72204409,115.25703088,-3.57227508,76.57273103,31.71408182,50.66760478,40.16849953,1.76459708,12.71253519,47.11606057,79.4537976
0.0166667,23.13746152,-7.97376987,2.74907281,-0.04609033,0.40280869,-0.12067173,81.09552624,-6.89569976,-7.1645301,66.28908095,17.45692769,6.11862425,0.0,75.83118714,0.02464827,1.24949866,49.50982354,-9.65211164,-15.82783109,0.0,-68.69959114,-1.32403997,26.98830193,112.702509,-3.87413155,74.50578775,30.94094066,50.47700633,37.02413256,3.51443727,13.02026171,49.57362813,79.2180826
0.0333333,23.16718448,-9.49127985,3.7432208,-0.05792475,0.39584833,-0.13169287,81.24492609,-8.42715445,-9.3921613,68.19547002,21.9580773,10.46211415,0.0,76.51924133,2.62372783,2.94133491,47.4530806,-14.35774975,-19.48575711,0.0,-67.44120352,0.72500881,29.59340127,109.0221713,-5.70424889,73.7068955,32.96369057,51.36739474,33.25105574,3.14818187,14.60566713,53.96053433,79.14742503
0.05,22.6748423,-10.70867762,4.16749936,-0.06338078,0.39733249,-0.13377879,80.71017434,-7.83241853,-11.32804733,67.6176718,23.90286035,14.65883881,0.0,76.69195915,3.52026556,4.50970576,45.7858418,-16.39982567,-19.20390753,0.0,-65.63869746,2.1990274,31.17864482,104.95755058,-6.73169197,72.61438262,34.47338024,53.54168269,27.57188285,1.89544712,13.74126277,60.16633343,78.51252438
0.0666667,22.86241159,-11.27154713,5.44235752,-0.05978809,0.39804629,-0.13195188,80.32984244,-7.98814204,-12.05637601,67.89021305,28.5475885,17.30634956,0.0,76.64448872,5.17835835,6.40033836,44.99284532,-18.51851517,-19.89640742,0.0,-63.81668463,4.42237032,31.57502016,100.33309424,-6.9251396,72.30996674,34.87745126,54.78958582,22.82369765,0.19070626,13.38762775,62.75549266,77.97935163
0.0833333,22.38581839,-11.14897236,5.71445427,-0.05649454,0.39999816,-0.1329717,80.63148161,-7.29200068,-11.11665111,67.3494877,33.00543567,21.17937738,0.0,77.2243084,6.1920702,7.76857734,45.22258933,-18.68241268,-19.59401036,0.0,-61.19625498,5.31367977,31.03704538,95.00082237,-6.79886516,71.83998537,34.80613107,55.56811081,18.52418802,-1.91074589,13.22732981,63.47526621,77.29707023
0.1,22.5562354,-11.07162332,5.34901748,-0.06403496,0.40172618,-0.13079907,79.66609949,-5.82461357,-10.02536842,64.89976354,36.62180499,25.05116562,0.0,76.53813704,6.22518985,9.20442212,44.58360565,-19.45355773,-20.0475619,0.0,-59.37825059,5.55523474,31.22449414,90.49052351,-6.75964193,72.11982581,33.92939516,55.75092913,15.8251952,-3.84277296,13.97268234,62.48151182,77.01888047
0.1166667,23.48897208,-10.52710847,5.45996984,-0.06855601,0.40049151,-0.12863908,78.61714629,-5.25145543,-8.71796106,63.72236371,39.271439,28.83617905,0.0,75.44875257,6.70969486,10.01564213,44.76871575,-19.66247016,-20.95099168,0.0,-58.19527797,5.82226283,31.3671622,86.11728896,-6.69415371,71.36508179,32.43358914,55.86971679,14.37953045,-6.35338009,16.74554889,60.27297796,75.91714444
0.1333333,24.20088128,-10.2602047,5.92380056,-0.06831457,0.41065341,-0.12526213,76.95343273,-4.55750886,-7.2822677,61.76350245,40.324174,31.57862353,0.0,73.85891328,6.97124388,10.42013029,43.85337484,-19.96106447,-21.51525762,0.0,-57.05008859,6.08405743,31.53153004,82.1298799,-6.96793893,70.93172533,31.57518853,55.91268263,13.02464599,-8.83239983,19.67304759,58.25910934,74.13942772
0.15,24.56388585,-10.12107847,6.05245527,-0.06678341,0.41286576,-0.12408583,76.22146139,-4.11700732,-6.67299755,61.2985059,41.52368286,33.45067544,0.0,72.83262144,7.09176016,10.93295348,43.68707341,-19.49870705,-22.16433929,0.0,-55.78032982,6.24364202,31.47099814,78.71392724,-6.73447079,70.02884495,30.43012267,55.70750913,11.95700059,-10.91114279,22.47878304,55.4209192,71.06529381
0.1666667,24.95129349,-9.91236047,5.57679413,-0.06921388,0.41655381,-0.12471175,75.28162395,-3.54169131,-6.18929523,60.42173693,41.18409426,34.74107576,0.0,71.83885931,6.71240468,10.97562047,43.1543281,-18.85313485,-21.73555674,0.0,-54.89680296,5.80513293,31.1019013,76.52322101,-6.47283846,70.24504505,29.80143514,55.65906888,10.27300273,-12.59430765,23.53057771,53.62553479,70.1594759
0.1833333,25.55374115,-9.68237391,5.26381058,-0.0681769,0.41601759,-0.12454794,74.30788137,-3.44100656,-6.43069162,59.53038856,41.52680786,35.0,0.0,71.2537785,6.64774452,11.21045389,43.22622173,-18.51288173,-22.62800189,0.0,-53.9512766,5.8253578,31.12218104,75.068644,-6.18994282,70.29875996,27.66889937,55.38316269,9.83077156,-14.16836621,27.17282396,50.4939601,68.38925596
0.2,25.89699517,-9.68457086,4.43192865,-0.06562398,0.41969585,-0.1283666,73.48190792,-3.0132366,-6.84714477,58.68346986,41.50166014,35.0,0.0,70.8383512,6.27960818,11.37724248,43.43894638,-18.01364401,-23.58225214,0.0,-52.76282458,5.84200262,31.56801414,74.1859662,-6.93313428,71.47590159,27.29020876,55.21560625,9.8953553,-15.07522973,32.24189276,46.30062308,64.48004307
0.2166667,25.79571793,-9.55126538,3.99963314,-0.05547551,0.417705,-0.12807445,73.68757129,-3.44935675,-7.8723076,59.14790073,43.58499433,35.0,0.0,71.62429676,6.48878459,11.1580027,45.20993509,-16.3448559,-24.02237826,0.0,-51.18193202,6.05191197,30.3154886,73.76904075,-6.41106773,71.56268368,27.40834543,55.19938126,8.08693629,-16.38411443,33.30901495,44.56123342,63.96545392
0.2333333,25.93461899,-9.65635063,3.07448199,-0.0625609,0.4222847,-0.13068579,73.20986069,-3.14670841,-8.26648695,59.0245146,43.3790661,35.0,0.0,71.54233911,5.92361379,10.8677985,45.94818715,-14.25616449,-23.40727368,0.0,-50.00646112,6.3491968,30.56632021,73.96965305,-6.621524,72.19445852,26.16045125,55.22796565,9.65706545,-16.78075797,37.23965051,42.28543408,61.25308948
0.25,26.08149151,-9.90717966,1.86830971,-0.06490165,0.42785061,-0.13258822,72.41719561,-2.54062259,-9.17217397,58.35407901,42.56534397,35.0,0.0,70.90998274,5.24236811,11.35598929,46.07153315,-13.54363729,-24.02361675,0.0,-49.41010981,6.37041963,30.23941969,75.26140632,-6.74206271,72.09033556,26.24245904,55.19199997,11.39947869,-16.72894814,37.98884244,42.28279519,60.74457024
0.2666667,26.17627634,-9.94221578,1.35515902,-0.05740793,0.43062973,-0.12609206,71.80740352,-2.26213918,-9.90347297,57.9313928,43.23221358,35.0,0.0,70.69305179,4.5297514,11.33954599,46.38150704,-12.20743105,-23.17676162,0.0,-48.35896236,6.29992459,29.64493154,76.83733976,-7.08206485,72.27971438,26.41442272,55.27696561,13.74096827,-17.27065178,38.99845488,42.43239867,60.30422971
0.2833333,25.78764104,-9.85500655,0.78449074,-0.04473242,0.43314772,-0.12410523,72.08049831,-2.09289516,-10.48095957,58.49471395,45.0662155,35.0,0.0,71.22765077,4.05997968,11.25152971,47.58430096,-11.02377878,-22.59229262,0.0,-46.26698076,6.01166877,28.09392397,77.76063208,-7.06777388,72.54338137,27.19447934,55.43356022,15.29559611,-18.07437559,38.94403583,42.48867777,59.94249483
0.3,25.6656594,-10.08755543,0.17638631,-0.04605225,0.42904684,-0.11398642,72.67746842,-1.11737479,-10.85200808,59.21797112,46.57316428,35.0,0.0,71.98199573,2.8227604,10.85352098,48.93613982,-8.8304775,-20.24065521,0.0,-44.63977249,5.74524795,26.72661446,79.72518808,-6.76520711,72.75816208,28.42049244,55.6710738,17.55601478,-19.51207348,38.60331019,43.26768633,59.68507505
0.3166667,26.03919566,-10.33756246,0.29609908,-0.04915413,0.43115874,-0.1118033,72.36300533,-0.71635947,-11.02845908,59.57131651,47.17372164,35.0,0.0,71.86855612,1.9184035,10.43123667,49.39667251,-7.70878865,-19.27344151,0.0,-43.63006071,5.63316135,25.18075882,82.38485134,-7.17750104,73.22869064,29.86069791,56.25877982,20.30906869,-21.14149076,38.59997617,44.97900149,59.29796521
