time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.0,41.29383607,6.44464297,-3.12091033,0.04497553,0.47825983,-0.00646464,53.8106268,-0.57617035,-1.98146639,41.1161797,-27.18493575,-25.60462856,0.0,50.5902144,-8.72469178,-16.97117509,50.59336178,9.58710806,10.51710278,0.0,-65.96620622,-0.06011599,6.31759291,100.26819868,-24.38215817,57.12415419,33.30310156,78.31361532,149.26377544,-6.0065013,76.27288809,35.41998598,44.76277022
0.0166667,34.38578422,4.53445134,-3.57248258,0.05351743,0.47791335,-0.00614654,58.01904928,1.51838226,-0.54398527,45.35243463,-12.68354606,-19.63268611,0.0,53.2844896,-9.91837959,-22.01328338,48.51767136,5.94913208,8.34437602,0.0,-59.93011313,0.88785549,13.82207792,99.45500754,-28.18971935,52.81228805,31.5130086,77.38123975,148.09829528,-4.38101806,78.45512528,38.3614471,46.10377528
0.0333333,29.47763865,5.08062344,-3.22306386,0.05442352,0.47587133,-0.00449837,63.47282645,1.63617524,-1.76572097,49.31189206,-6.1301892,-19.19679578,0.0,57.66873449,-9.84023684,-21.07455801,51.6258536,6.46464637,4.77055283,0.0,-56.32948878,0.73245862,17.62641998,96.13944402,-31.70280604,40.34369452,36.34010635,74.46732894,147.23745373,-1.69734517,76.07382631,38.92238159,48.79672823
0.05,27.52513017,5.75609477,-2.14802121,0.05910667,0.47677033,-0.00732319,65.15552029,1.19033139,-2.39935795,50.03282432,-2.96798758,-17.18314912,0.0,60.3979537,-9.34436882,-21.50571664,52.70090616,6.39355098,4.4762055,0.0,-54.95226279,1.08664637,18.45354874,93.7256091,-32.2723085,36.84449035,37.11288721,74.06899713,146.92597959,1.37550136,77.84473147,36.78383605,51.32850443
0.0666667,26.42804527,5.97712574,-1.34585643,0.05887257,0.46875886,-0.01165201,68.10767154,0.7543709,-1.70389359,52.96836997,-3.70575461,-17.91985728,0.0,63.04573674,-8.34953145,-21.07740913,53.30914499,4.24437478,3.72988548,0.0,-54.82476617,2.37254197,18.80608865,94.05673946,-30.51504022,36.21408715,36.51162451,73.75615926,147.92963781,1.63357276,78.23721799,36.93543137,51.93289018
0.0833333,25.97036103,6.14887911,-0.28505826,0.0638899,0.47024401,-0.01384087,70.10717703,0.11003925,-0.92967055,55.60039774,-3.31699846,-16.63509599,0.0,64.93126292,-7.65314678,-21.25845607,54.48575629,3.53115174,4.4524377,0.0,-55.0489998,3.62439176,19.1944365,94.28614305,-29.11863167,34.81249972,34.28616059,72.84779991,148.22555578,2.03127688,79.30968646,38.2731302,52.64522403
0.1,26.12491163,6.53612318,0.34554238,0.05749576,0.46709622,-0.01331123,70.57813253,-0.47227658,0.35633572,55.99422669,-5.41936862,-17.67234893,0.0,65.1584635,-6.84441228,-21.62707111,53.90452446,1.91880254,4.77888828,0.0,-56.65090698,4.29298134,19.06364798,95.86589428,-27.04574326,33.69599317,31.62129075,71.46792344,149.62098842,2.10808064,79.65601174,39.44914595,53.0920367
0.1166667,25.86084733,7.06644722,1.04957269,0.06316378,0.47075372,-0.01109648,70.88560307,-1.10606918,1.12610799,56.92040487,-5.98182014,-18.46517897,0.0,64.60564865,-6.12770854,-22.30186536,52.52478206,0.15342856,4.92707377,0.0,-57.91246084,4.64992546,19.46716275,96.66269644,-26.65361638,32.28354743,29.86614748,69.02009309,150.17299869,1.68021534,78.18272842,43.48949365,53.4889515
0.1333333,25.04123164,7.5291054,1.55312261,0.06513135,0.4706909,-0.01037156,71.4272977,-1.52841028,1.62217794,56.71614785,-6.46553142,-18.49843948,0.0,64.74661719,-5.8808272,-22.90410948,52.15147691,-1.19447488,4.81925921,0.0,-58.8235041,4.401805,20.10594302,97.07587384,-27.45487727,31.83944834,29.17476646,68.62466373,150.74364301,3.06631055,77.59567294,44.47807342,53.53325873
0.15,23.83661742,7.99281464,2.21107741,0.07250527,0.46731396,-0.01454684,72.76639066,-2.4976911,1.91100656,57.09737723,-7.80925381,-19.74115013,0.0,65.90524337,-5.47635299,-23.48605808,52.40851748,-2.4569642,4.09812539,0.0,-58.67838327,4.74305628,20.79703231,95.42787589,-28.29882826,29.34608118,29.47729963,65.9622906,149.25231606,4.16751081,73.88972117,45.89085108,53.79315366
0.1666667,22.41761198,8.17172435,2.42644314,0.07531276,0.46584348,-0.01898661,74.83603943,-3.0477836,2.37512904,58.10697675,-7.52338086,-19.38191482,0.0,67.47919307,-5.335336,-23.96933361,53.09896767,-2.59394622,3.96510278,0.0,-58.3310087,4.53959322,21.70377058,93.03925036,-30.00999046,27.12826927,31.04514421,63.82745347,148.04585436,6.4797395,69.86292068,46.72416337,54.77815301
0.1833333,21.07338797,8.64392577,2.62505832,0.07822104,0.46555645,-0.01717794,75.78190362,-3.45477234,2.74219782,57.11825354,-6.61397909,-19.27681176,0.0,68.89200545,-5.31516264,-24.70306124,53.66181107,-2.77564829,3.67997917,0.0,-58.01129211,4.14526958,22.11283896,89.66566979,-30.7335898,23.76054317,31.74030227,62.11871495,145.89959401,8.68583786,65.17723841,47.54120061,56.15293493
0.2,20.44873703,8.94101608,2.65907388,0.0705291,0.45964612,-0.01712725,75.76077501,-3.74795748,2.52116309,54.88661827,-6.89281484,-19.29849412,0.0,69.47287834,-4.92269281,-24.90295681,53.08351831,-2.91157048,3.30058978,0.0,-59.27523828,3.81512556,21.60990068,88.40469064,-30.24175466,21.8088522,32.02618799,61.35683494,145.69113218,10.40001314,61.5903838,47.21467434,58.26152496
0.2166667,19.71391215,8.97631381,2.78320144,0.06706154,0.45100277,-0.01820044,77.18314653,-3.97041759,2.66460377,54.16881563,-8.0270702,-18.41247013,0.0,71.21068871,-4.65730316,-24.43953807,53.23779618,-4.20261157,2.32706467,0.0,-60.58388634,3.88820066,20.573866,87.45299776,-29.17945499,22.0526455,32.45237278,61.38742504,146.18238414,10.85496393,60.57563325,47.48587045,58.47760106
0.2333333,19.02369233,8.97590931,2.82883988,0.0707647,0.43905075,-0.02145768,79.30243142,-4.17661193,2.8291694,55.13705133,-9.94377023,-19.55880521,0.0,73.57075982,-4.58637058,-23.92076379,54.07396281,-5.02866208,1.14636104,0.0,-61.08391315,4.49940293,19.96925193,84.975081,-28.46706203,21.32343096,33.79059959,61.33105726,143.99103944,10.29587061,55.70053481,51.4366198,59.5354332
0.25,18.36458257,8.65366511,3.02912468,0.07492487,0.43555276,-0.0180392,81.74048266,-3.60708552,3.31694689,57.86950093,-10.26440564,-20.56391044,0.0,75.67414442,-4.85912955,-23.11218308,55.31552902,-5.30703475,1.45239541,0.0,-61.49026107,5.31597243,18.82486167,81.18061634,-27.25461264,19.9726371,35.58700054,61.47197027,141.30458785,9.49271307,52.61318048,54.84165755,60.78280735
0.2666667,18.19402225,8.44791529,3.30995031,0.07325584,0.44522082,-0.01404769,81.36184012,-3.32516697,2.96715801,58.32699052,-9.5953708,-19.94948696,0.0,75.79920899,-5.10506019,-22.81257135,55.56071904,-6.34494107,1.4094556,0.0,-62.35969268,5.98133259,18.73442626,75.61626577,-26.99325403,15.22465083,38.79400413,61.85455936,136.50848511,9.95763403,48.46548104,58.4855002,62.71836282
