time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.0,37.34479716,3.8704152,-5.5613492,-0.12486911,0.4960714,-0.28552517,48.71632769,-1.34042339,-15.64428054,28.75202679,-18.29894285,-6.06498999,0.0,49.70847422,-14.88142182,-31.75306057,59.54176734,15.29405895,10.3088425,0.0,-56.79464564,10.5987402,-26.4883573,9.72368277,-16.28257284,15.29422162,25.02056278,68.90984793,67.10363912,-5.51570571,37.84653608,41.82142714,74.73834303
0.0166667,33.72615827,3.76850884,-8.31837555,-0.13704683,0.49304674,-0.27756226,51.70965038,2.68317489,-8.24377651,31.28176945,-12.92339175,1.73500217,0.0,49.94311252,-16.67815394,-37.16123239,57.12315814,7.39330245,3.67814742,0.0,-55.86227293,10.22264719,-22.62336741,6.58242364,-19.56447306,16.0508875,24.94339202,70.2823072,65.09545879,-4.53496641,36.55837346,43.97076874,76.20597669
0.0333333,30.50732081,3.30342218,-7.63936362,-0.13771016,0.4866891,-0.28036837,55.85745173,3.54062456,-7.74533667,35.38622342,-10.94423275,2.62034891,0.0,53.29575718,-16.59851811,-34.56506172,58.9445326,7.14120611,-0.08064441,0.0,-53.25663855,11.19554933,-20.27335319,4.31988108,-22.11862057,15.71295854,25.8179684,71.33645512,59.82372884,-3.14954428,36.06682713,47.25782289,77.89348654
0.05,30.29781653,3.74663299,-7.10498131,-0.14576706,0.48646713,-0.27900241,56.01040171,3.94220435,-6.96369539,34.42293124,-11.32830126,3.42305118,0.0,53.7154246,-15.88796495,-34.53017845,58.85857274,6.49542079,-0.77742179,0.0,-52.82692392,11.03622118,-21.37374856,3.15912719,-24.03557387,13.19462138,25.58258007,74.01464869,53.49240275,-4.25319785,31.03045031,52.33004415,82.47139139
0.0666667,29.97426526,3.97050222,-6.27131105,-0.141788,0.48408631,-0.28495025,56.87283754,3.63828901,-5.91665621,35.72031991,-10.41597113,2.46141182,0.0,55.41927379,-14.75193412,-33.98244941,59.07150814,6.92737954,-2.16433218,0.0,-51.95661753,11.50020629,-21.87204891,1.6502852,-26.62667207,11.83243104,25.684673,75.3846455,48.84918027,-4.9688797,30.72546143,54.39623289,84.71998721
0.0833333,29.88222573,4.28125308,-5.5146636,-0.15010828,0.48256456,-0.28492139,57.18971215,3.18214777,-4.89014419,36.10458011,-9.35981194,2.28446663,0.0,56.3716647,-13.91526066,-33.93662902,59.15469633,6.68166855,-2.37452701,0.0,-51.90882883,11.30419281,-22.11404508,1.07351332,-28.61078599,10.73769187,24.88403227,76.29007181,45.07247338,-5.35364113,29.13040607,57.34422297,86.18387124
0.1,30.88112217,4.54789588,-4.41027555,-0.15184826,0.48405855,-0.28549626,55.94249056,2.56520297,-3.82481621,35.53964707,-9.03212513,2.15892545,0.0,55.099519,-12.41453394,-34.21772622,57.57788992,5.29510179,-2.48114253,0.0,-52.72688034,11.41443254,-22.56550126,0.89684721,-30.54720693,10.00456295,23.56032716,76.62197965,42.16521863,-6.00341406,27.89743298,59.88701277,86.84082507
0.1166667,30.56275374,4.36554919,-3.53211815,-0.14816305,0.48423593,-0.28544492,56.36188225,2.51429182,-3.6760623,36.39648943,-8.61828378,0.76686509,0.0,54.94935029,-11.95193001,-34.04876415,56.8651694,3.90704081,-3.9541428,0.0,-52.56042041,11.47472811,-22.55243834,2.18423788,-32.86572205,8.05627181,25.43753931,76.54889162,38.69026566,-6.3018095,25.2773274,62.85056517,87.03480164
0.1333333,30.59439566,4.47236948,-2.21474943,-0.15238223,0.48335872,-0.28357531,56.11831974,2.02543484,-3.27878753,35.41903835,-9.09851113,0.43488524,0.0,54.74727472,-11.09755156,-34.22092524,56.32867394,5.28366941,-2.20693264,0.0,-52.88685491,10.70953486,-22.23848608,5.20492703,-34.90582924,4.56813851,27.16840847,76.39143789,36.05329462,-6.3523491,23.32317469,65.53381513,86.99606287
0.15,30.44044775,4.43295144,-1.15428938,-0.15046831,0.49102769,-0.28563974,55.33322708,1.44951391,-3.00004364,34.66457484,-9.27820946,-0.42111764,0.0,54.41475949,-10.45033975,-34.4488364,55.80451149,2.06609278,-3.78974222,0.0,-53.14967717,10.64581629,-22.09664316,6.76625563,-36.41741822,0.23462706,29.70669414,76.4404982,32.84460413,-6.96543993,20.81563028,69.10793826,86.43815223
0.1666667,30.83652238,4.0904628,-0.31812808,-0.15150673,0.49235364,-0.28491667,54.40070264,1.30063231,-3.05685576,34.63906199,-8.91824545,-0.87781827,0.0,53.84879413,-10.43174449,-34.2159111,55.47861113,0.92971532,-3.90508402,0.0,-54.16093241,11.02226808,-20.05333925,7.21725248,-37.46790168,1.2372925,29.92221129,77.77085157,31.05217485,-7.02770315,19.73059304,71.88411167,85.79430589
0.1833333,30.96284867,4.32629136,0.57724113,-0.15590883,0.49038825,-0.28628041,53.90307197,0.76608565,-3.13670041,33.52843152,-9.20552151,-0.81730399,0.0,53.48370986,-9.58780127,-34.55927867,54.78635171,0.91616352,-3.42177379,0.0,-54.42609368,10.65363129,-19.57555086,8.57129073,-39.40173076,5.41585833,30.45051529,79.70737468,28.97062124,-7.64304044,17.29618552,75.51990145,84.83747719
0.2,30.44036796,3.74655916,0.70265482,-0.14975173,0.4920234,-0.29161143,54.59841198,0.89484505,-3.01126044,34.50218774,-9.23545843,-0.42362016,0.0,54.01811024,-10.02451278,-34.42157659,54.73426173,-1.21163539,-4.66254993,0.0,-54.41553658,10.84124401,-17.93637199,9.53290838,-41.55073443,7.00441287,33.03932997,80.23584894,26.91351439,-7.33997644,14.9404713,78.72093283,84.38378781
0.2166667,29.65518054,3.46818354,0.69946192,-0.13610912,0.49521216,-0.29342124,55.65014223,1.19116523,-2.86825809,35.5199312,-7.3328656,0.18823785,0.0,54.82451448,-10.59092479,-34.37561061,56.22954797,-0.15463144,-3.20753312,0.0,-53.53977233,10.74868737,-16.64534874,11.18812638,-43.54424707,9.09504871,36.00298616,80.74980059,24.09664063,-6.76464493,12.63220614,82.35266397,83.8997205
0.2333333,29.10721281,3.72883316,0.48040475,-0.13223404,0.49714103,-0.29086496,55.82222673,1.06709811,-1.9368889,35.49515337,-7.11960022,-1.26991553,0.0,55.09012761,-11.07704391,-34.77088417,57.07631174,1.03669661,-1.64969428,0.0,-52.49887927,10.07793057,-15.81723935,13.00629801,-45.32591231,12.07089503,39.45839278,81.38964835,20.23241548,-6.10896288,9.84855332,86.9034879,83.27574659
0.25,28.88770422,3.77506914,0.59370137,-0.14388746,0.49366662,-0.28778083,55.96071085,1.14914054,-1.24077346,35.28925411,-7.03468647,-2.6783854,0.0,55.70086386,-11.10391637,-34.63336357,57.60330862,1.28318739,-0.45449949,0.0,-52.46450927,9.47634962,-14.65608606,16.58119487,-46.64938909,15.13658713,43.24630329,82.00539986,19.61594731,-6.52383839,8.22733116,91.40904103,82.71968938
0.2666667,28.52353211,3.9901341,0.69821873,-0.14948431,0.49250582,-0.29283672,56.24819441,0.76696118,-1.22443994,34.61730363,-7.1711119,-3.24605605,0.0,55.88198033,-10.36138581,-34.66011099,56.17791507,0.40796633,-0.99819163,0.0,-52.59798131,9.25920717,-13.1412867,21.60388695,-48.17464062,17.91626363,46.99773123,82.59394502,20.52649245,-6.86000894,7.12660875,96.32990768,82.08503652
0.2833333,28.42533044,4.00401122,0.9917789,-0.15117429,0.49279607,-0.29393858,56.76377901,0.65766647,-1.51066115,34.60372787,-7.58016763,-2.51638717,0.0,55.78582089,-9.69340698,-34.60845096,55.25744645,1.09764499,-0.15112404,0.0,-53.26714347,9.37762648,-11.49703531,27.82765598,-48.83742715,20.22061125,50.97128702,83.15024753,22.84250438,-7.34151081,5.69241667,101.38928131,81.31773056
0.3,27.69186809,4.12917731,1.0671127,-0.14641894,0.49005355,-0.29479486,57.72164474,0.41479154,-1.96442598,34.91190586,-7.77573118,-3.33397761,0.0,56.40934452,-9.3465404,-34.61481711,54.48002896,0.17732992,-1.38288427,0.0,-53.12645426,9.8011719,-11.52457619,38.78881587,-47.19052116,27.51602596,51.22761474,84.61294015,25.11740202,-9.62591362,2.29667885,107.5278305,78.35708434
0.3166667,27.06748694,4.1936551,1.52761578,-0.14382365,0.4941495,-0.29171477,58.00495505,0.36255675,-1.75274421,34.54187687,-7.82497687,-2.27373289,0.0,56.81556956,-9.06087474,-34.69188947,54.11181167,-0.15764112,-2.48767645,0.0,-53.33541591,9.98653663,-8.24923556,43.70955327,-46.46231814,26.70747944,51.04439371,84.58405785,31.06892171,-10.69883835,3.36127631,110.26171556,78.27897078
0.3333333,25.99895836,4.16948709,2.01715265,-0.14017882,0.49510909,-0.29163042,59.07341047,0.35384153,-1.64362158,34.94047659,-7.60061029,-1.94238927,0.0,57.51501905,-8.95703177,-34.74905259,54.16420141,1.99881677,-0.46215639,0.0,-52.81685044,10.2145513,-5.49122977,49.70960405,-44.87978058,26.74040669,49.60133241,84.79319779,37.1084971,-12.28345829,4.67425452,112.87223502,77.87775757
0.35,24.44557149,4.15826424,2.79066203,-0.13906829,0.48759268,-0.29398233,61.20048867,-0.42338516,-1.35070082,35.53845379,-8.0994571,-3.7166763,0.0,59.50271434,-8.31279318,-34.30094677,54.20735317,3.31187238,0.31455521,0.0,-51.78043677,10.76463233,-3.20277114,55.92778995,-43.71127571,28.73393695,48.01505603,85.47313437,43.74551602,-14.1553321,5.57834996,115.60447066,76.90411937
0.3666667,23.5144926,4.14719101,3.75245118,-0.13793897,0.49385434,-0.29005936,61.68458239,-0.87604749,-1.21982058,35.15888494,-8.34636824,-3.94278585,0.0,60.14709685,-7.6284288,-34.0809137,53.38448231,3.47531996,1.20591246,0.0,-51.73055185,11.42814451,-0.87817019,58.95536446,-41.96946257,27.61827281,48.1935008,85.44450245,50.58936616,-15.5155319,6.2275273,117.17221459,76.75731794
0.3833333,21.68519837,4.01820441,4.77561187,-0.13135066,0.49040557,-0.28910844,63.76860157,-1.22575489,-0.88045088,36.19071452,-8.05785734,-4.5591005,0.0,62.14104045,-7.16222974,-33.43191437,53.28395498,1.66369297,-0.08865912,0.0,-50.47322979,11.78676316,1.81590693,61.01572302,-41.09056634,26.4171611,47.23901596,85.54941088,57.8133953,-16.31143548,8.18546039,118.33155912,76.64063277
0.4,20.04005137,4.25308105,5.52167753,-0.1279111,0.49091449,-0.2913976,65.62505084,-1.65778876,-0.14267069,36.66664578,-8.25831075,-4.2170603,0.0,63.64687038,-6.42059864,-33.37402569,52.87221148,1.13573989,0.24748279,0.0,-49.73974526,12.25498332,5.35014083,64.91028943,-41.18091483,25.70242636,44.8598419,85.86183644,65.42979911,-15.39363135,9.8074061,118.34621084,76.64815303
0.4166667,18.26374629,4.75547511,6.28094486,-0.12153648,0.49325659,-0.29161938,67.19885063,-2.38433807,0.50894885,37.14852607,-8.05481247,-4.11779487,0.0,64.61009859,-5.3197653,-33.38933415,52.01075398,-1.08480776,-0.83860743,0.0,-48.9622283,12.9755229,8.26938178,68.56272696,-40.73733273,25.09309971,43.11256766,86.19562453,72.1166883,-14.0609513,10.54902658,117.39997808,76.72506177
0.4333333,17.17761475,5.24376091,7.23278281,-0.12905592,0.49128416,-0.28702197,68.37667243,-3.08848038,1.04112583,37.15203849,-8.08973823,-4.41743361,0.0,65.39734918,-3.96493109,-33.2754737,51.60817586,-0.75762376,-0.60950422,0.0,-49.19156243,13.16623734,10.72821357,72.71340643,-39.987714,25.20768052,40.81559583,86.57627004,80.50737663,-12.59356818,12.08582278,114.84147633,76.88105077
0.45,15.2359018,5.79716124,7.61150572,-0.11339872,0.48964529,-0.2914276,70.95166181,-3.73741574,2.4771032,38.64084031,-8.50966038,-7.06434757,0.0,66.85614218,-3.25811913,-33.89469358,51.44248508,-0.31734582,0.14305508,0.0,-47.60192665,13.30637273,12.93962434,75.0936273,-39.82897471,25.60237611,39.12405049,86.90278473,86.05615685,-11.7684182,12.48684531,112.98670289,77.01905372
0.4666667,13.70640876,5.85682973,7.99292499,-0.11689971,0.48339126,-0.28419093,73.47929189,-3.58597767,2.84674884,40.39816389,-8.39013802,-7.57766888,0.0,68.83409865,-3.2496887,-33.69936643,51.03289736,-1.49803074,-0.61087775,0.0,-46.57103001,13.07155687,15.33136146,77.30097161,-38.74773682,25.534648,37.50342333,87.03099761,93.07557787,-10.57273831,14.00288983,110.18213727,77.24179386
0.4833333,13.50861966,6.25732222,8.84277756,-0.12246497,0.48817436,-0.28247512,73.30756613,-4.197047,3.88732954,39.75253533,-8.76200172,-8.24338247,0.0,69.33428946,-2.28009577,-33.67264262,49.98375497,-2.31070955,-0.41319073,0.0,-47.28124659,13.05479154,17.47600614,80.17828155,-38.06757359,24.91857872,34.76395032,87.04994912,99.98809787,-8.74323832,15.68573995,106.05103002,77.5070367
0.5,13.08340892,6.53059773,9.69590226,-0.12404432,0.4867944,-0.27826446,73.92368056,-4.63668386,4.9654737,40.26364391,-8.62822757,-8.69761427,0.0,69.95388413,-1.64279482,-33.10852707,49.37612939,-3.37604757,-0.51330429,0.0,-48.14570382,12.7193173,19.46729351,83.16984298,-37.32005015,24.77284161,32.69736995,87.01701259,107.62277839,-7.02255751,18.00432748,100.97493379,77.78743811
0.5166667,11.92156998,7.05752039,10.37518691,-0.11794742,0.48849304,-0.28169665,75.58608594,-5.15846989,6.18108119,42.14161618,-9.10288325,-11.17037513,0.0,70.88376024,-0.7813832,-33.52796027,49.34747778,-5.93735824,-1.76271955,0.0,-48.1907647,12.31035467,21.236763,85.2772562,-37.44420419,24.85520333,31.00818455,86.88850299,113.26568013,-5.44312123,19.89741214,98.110325,78.03299442
0.5333333,10.88857161,7.75460254,10.66488874,-0.11211918,0.49271753,-0.28043396,76.90383965,-5.56986766,7.16704387,43.70873074,-9.57232928,-14.24998582,0.0,71.36397848,-0.47997507,-34.25842,49.54428491,-6.62425702,-2.00557806,0.0,-48.45493011,11.56715054,23.11974264,86.7913735,-37.64620976,24.93187658,29.52120529,86.57916757,118.32573115,-3.89966232,21.86151462,95.30754956,78.28257998
0.55,9.92082079,8.5565865,11.10504932,-0.11386468,0.49223003,-0.27875981,77.80183394,-6.39606115,7.15741071,44.29397964,-10.43857832,-17.34536108,0.0,71.61855703,0.55705332,-34.48185513,48.15074827,-8.93891619,-2.94600791,0.0,-48.79938525,10.7780852,24.4844076,88.27241032,-37.76891763,24.74416449,28.18652823,86.0252605,122.99635527,-2.47065855,23.80115131,92.11756839,78.46740526
0.5666667,9.13440928,9.77936891,11.32616622,-0.1191361,0.4856445,-0.27957538,78.86759081,-7.416365,7.32683389,45.40938832,-12.47377899,-23.20763259,0.0,72.19684491,2.03179242,-34.27896809,48.64999302,-16.22222174,-7.20487805,0.0,-49.38311587,9.48579812,25.13325342,90.55247751,-37.52715249,24.78382159,26.72604721,84.91237135,128.7507456,-1.1226881,26.41985854,87.0935931,78.47636419
0.5833333,9.55333221,10.26867641,11.05587452,-0.11740297,0.48960488,-0.2793055,78.86047159,-6.97687492,7.63635267,45.7791914,-12.13947252,-23.27593074,0.0,71.21942252,2.62336492,-33.64836617,47.57244787,-15.97827382,-6.48144348,0.0,-51.33002637,8.71821652,26.44344439,92.94107568,-37.76092786,25.03186369,25.43661905,83.6412183,134.19020142,0.21329064,28.9283665,82.06805965,78.27151701
