time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.0,25.50996896,-2.03294444,-14.65968971,-0.6911851,0.50808233,-0.21265262,65.18120007,9.51138538,-10.64328999,37.63559759,-33.35961494,-28.5277371,0.0,63.29019739,-15.47472863,-17.58651799,44.0460729,1.59613639,16.17922312,0.0,-60.01466104,4.30585785,-10.90578617,-4.39695885,-22.36737997,10.54169801,92.97690395,96.95058963,81.78946537,3.14673305,47.9653404,43.48857914,65.09274751
0.0166667,24.29598569,-1.48916325,-15.42279281,-0.70251527,0.50750344,-0.20846602,64.94942256,10.42373387,-9.42039508,38.49159683,-24.06445373,-22.41156214,0.0,62.88194291,-13.11726043,-22.40286945,40.00638768,-1.68564378,13.55067019,0.0,-57.68475463,2.65899482,-12.6948006,-3.16845104,-24.55281837,17.53222884,86.82688191,96.95545416,79.58771669,1.75620128,47.59944812,40.28322911,67.46876643
0.0333333,23.72842513,-0.95213342,-15.6231179,-0.72294572,0.50379491,-0.20544324,65.41186334,11.1699095,-9.41638027,39.50908914,-22.84979899,-19.53110135,0.0,61.99806253,-12.50113173,-22.90536737,38.2823736,-5.10778557,12.61119718,0.0,-56.14939326,1.57445837,-13.3562117,-2.83480167,-26.77990731,21.68342074,88.08978795,97.29323338,76.6128866,-0.59049429,47.99234774,43.10380577,71.10229098
0.05,24.28360716,-0.72221954,-14.6527776,-0.7233426,0.5048317,-0.20842336,64.35436163,10.92866649,-9.99113949,39.23994025,-21.72623023,-16.68011195,0.0,61.64214461,-11.63605777,-21.87035124,39.05957204,-5.6191246,12.33585976,0.0,-54.8971059,1.73746907,-14.60940023,-3.43674722,-28.38817927,21.02608322,91.7231413,97.60967469,71.98181133,-2.81278017,46.31018522,45.41435031,72.42718182
0.0666667,24.97632021,-0.55611166,-13.85842321,-0.72975768,0.50307464,-0.20927317,63.82974366,10.65309338,-9.25800328,40.29960356,-20.16161589,-15.52433118,0.0,61.38277505,-10.72724008,-21.608664,38.74788243,-7.79608841,10.80866667,0.0,-53.9399837,1.69158958,-14.97699562,-5.62312064,-29.71494334,20.46939791,93.26450738,97.83565879,68.56570112,-5.0345573,46.6248315,48.25131622,73.08805691
0.0833333,25.3508348,-0.96230781,-12.96237696,-0.73708491,0.50157532,-0.21071638,64.22825101,10.17635564,-8.60573503,41.49168374,-20.0508201,-14.27774685,0.0,61.80360764,-10.37746564,-20.58256069,39.29501249,-9.29847606,9.58509144,0.0,-52.89344211,2.18497223,-14.76238186,-7.81106847,-31.52827539,20.87105314,94.08030553,97.97138996,65.79824269,-7.42308365,46.29095536,50.57971297,73.38821037
0.1,26.67661732,-1.24226884,-11.62720472,-0.74238392,0.49983545,-0.21014091,63.19314658,9.29163876,-7.69789588,41.49849615,-20.35138111,-13.08504649,0.0,61.07865218,-9.5091325,-20.45180336,38.74290445,-11.49860374,8.78416475,0.0,-52.37312259,2.46222324,-14.68082852,-9.49517204,-33.57144478,21.22429332,96.41498494,97.93688703,64.11805726,-9.56871207,46.82633711,51.20691255,73.46130669
0.1166667,26.50229619,-1.00582773,-10.55609602,-0.73282077,0.50040996,-0.21567688,63.03663804,8.13752556,-7.88519818,40.06553943,-20.96797278,-11.75078892,0.0,61.24590979,-8.29050507,-20.35611906,39.37565324,-11.40514879,7.54871999,0.0,-50.23376161,2.6605774,-14.60032302,-10.74560319,-35.18445459,21.50499192,97.9996851,97.86406532,62.04469553,-11.42391051,47.00627761,51.33648685,73.36608293
0.1333333,26.63618592,-0.98589265,-9.95123509,-0.73559856,0.50252923,-0.21682345,62.52515677,7.59537277,-8.05891789,39.69379705,-20.79971561,-10.06493804,0.0,60.82091764,-7.75721688,-20.72260165,39.49359336,-11.00010619,7.12349847,0.0,-48.8349123,2.9672473,-14.11943308,-9.92302106,-37.14510901,23.03355864,99.04205481,97.23703972,59.94779847,-13.52567081,45.1682487,52.50861025,72.46920839
0.15,26.72760832,-0.73483281,-8.97830995,-0.73666812,0.50203337,-0.21787191,62.32540018,6.7611745,-8.33280287,39.54552079,-20.50113667,-9.4919255,0.0,60.71753859,-6.91249703,-21.36293995,40.53244123,-9.74597666,6.99674642,0.0,-47.00762445,3.10804804,-13.87050644,-7.2400204,-38.57033201,26.10406967,97.91775544,95.97902412,58.07342505,-15.24287835,43.81859048,52.07428356,71.55175859
