time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.0,-15.72287239,-1.18637904,-22.12196649,0.12034432,0.46409725,-0.01161041,93.70918931,-9.8448338,-0.10206095,135.37096276,31.68745438,-19.37647046,0.0,116.57713406,-18.9731999,7.57357811,63.40604608,-9.28054899,-6.45717306,0.0,-18.60041516,0.96832727,-7.61761973,167.67340972,22.06299873,89.63284401,20.70915552,44.12192835,93.94827773,-38.74480282,47.14654869,21.26573043,63.16613191
0.0166667,-10.62788427,-6.11407749,-19.55424273,0.13074236,0.4745391,-0.01806108,85.72484341,-12.96893029,-2.12352341,136.85096913,11.55836998,-19.47043267,0.0,113.57975462,-13.63268967,9.33445151,66.89738562,-9.47310366,-12.60925378,0.0,-27.49027214,-2.89005742,-11.78912088,166.72638309,8.30137045,79.45394688,29.8665662,58.71993179,110.4150271,-31.40677398,66.10037539,9.5821161,66.30261746
0.0333333,-6.5878343,-7.23389062,-16.97280976,0.13681603,0.47793621,-0.02465328,81.57699105,-16.91922397,-1.8362218,136.70696748,8.08568242,-13.54486086,0.0,108.33288943,-11.43004622,8.70090302,63.64113535,-12.03285171,-16.52608378,0.0,-36.02818595,-5.06262363,-18.53875392,165.30930239,3.66736061,62.18559029,35.42799076,87.09418984,121.59382075,-32.35460958,84.64393402,7.49644103,41.24695394
0.05,-7.04422409,-7.69406818,-15.59416341,0.13929976,0.47766998,-0.02863119,79.97801115,-19.22365021,-3.14172004,136.24110843,6.83129676,-12.10579265,0.0,109.06008246,-9.60514599,9.53406901,65.42580827,-11.74566116,-17.60075067,0.0,-38.80982349,-4.57411712,-21.40129428,164.29343389,2.49025594,54.95213192,39.81113907,84.87011339,125.9154351,-33.30844723,82.49164136,9.80818293,36.12141063
0.0666667,-7.49531858,-7.82439775,-14.68115043,0.14025862,0.47286207,-0.03159615,79.78511335,-20.19636693,-3.34454722,135.80793587,6.83206905,-10.45166146,0.0,110.03160442,-8.50350622,9.22908781,66.33354446,-10.71996298,-17.77207299,0.0,-40.56216108,-4.78899572,-22.7802317,161.60104192,1.41826585,47.67492671,45.83263765,83.96515502,127.31254928,-33.06819658,79.84868379,12.09161448,33.81486148
0.0833333,-8.34849665,-7.82585001,-14.31503039,0.13350231,0.47065076,-0.03895085,80.4276809,-20.55656635,-3.22021122,135.14116419,7.42963719,-8.65966962,0.0,110.89409369,-7.49881703,8.8341097,66.09292506,-10.78012974,-17.81523651,0.0,-42.56053648,-4.87040098,-23.80551287,159.08376785,3.32856667,36.53194569,48.42841248,83.26666575,129.10813842,-31.58396685,76.81160809,12.8632602,32.28792296
0.1,-9.24843879,-7.95058532,-13.8567834,0.14392406,0.47271895,-0.03842365,79.89368517,-20.81398245,-3.28447054,134.68496578,8.79288935,-7.27092569,0.0,111.26919754,-7.08379621,7.87152073,64.49409817,-11.79779771,-18.73925432,0.0,-43.60313504,-4.94091174,-22.59709529,154.88572674,4.47856497,28.62089242,54.17846056,84.62775749,126.73656839,-30.32153548,69.84642976,14.83596889,30.99446553
0.1166667,-10.65024539,-8.14694303,-12.9283941,0.1524444,0.47041181,-0.03972955,78.57267208,-21.12983578,-3.97874335,134.01868141,12.61579599,-7.14802003,0.0,112.51851391,-5.98228738,7.04005235,64.37082389,-12.45782897,-19.34201084,0.0,-44.06771536,-4.34333873,-19.37308477,151.72954995,5.91177604,23.86297799,58.33675609,87.12344757,120.28667474,-28.21902038,53.21558943,19.92385381,31.90952508
0.1333333,-12.32318145,-7.4979976,-11.61044511,0.15823279,0.46634844,-0.03979831,78.72808737,-21.70383668,-3.30614691,134.04007638,15.67769627,-5.82073786,0.0,114.24931984,-4.7999659,5.74631784,65.08189488,-11.91412055,-20.07074553,0.0,-44.3914052,-4.64474075,-16.12422695,148.02944225,6.1081901,20.0915388,63.47895743,87.01664893,113.67953594,-23.91346319,40.72911904,22.80892947,36.71343067
0.15,-14.02600334,-7.46781547,-10.34774557,0.17642685,0.47016017,-0.04232305,76.81277507,-22.67015964,-3.79701872,133.58792232,18.6346634,-4.9979382,0.0,115.88508516,-3.62122047,5.13643899,66.07525467,-11.05409394,-20.23618018,0.0,-43.31369923,-3.7151511,-13.22250091,141.20409909,7.74347891,18.73952627,66.70191526,86.0425921,100.9166854,-21.08115059,22.76689755,30.77211624,42.5139347
0.1666667,-15.84590501,-7.20602885,-9.23611714,0.19842603,0.4721552,-0.03468012,74.27167967,-23.65267342,-4.30507338,133.72657399,21.78047472,-2.48229958,0.0,117.99524112,-3.35506643,4.16679797,67.87102354,-10.1510733,-19.70810959,0.0,-41.44901875,-3.61659915,-11.64012442,130.49435431,9.8410136,16.95417507,73.37083158,84.19112969,87.42008914,-18.73071492,10.31544836,38.27918764,53.19828771
0.1833333,-16.3946227,-7.0903365,-8.70814354,0.20224747,0.47037018,-0.0349395,72.40662714,-23.81135056,-4.45996709,133.51615913,22.81660789,-3.24267959,0.0,118.66151611,-3.79077866,3.06456682,68.65619958,-9.02297716,-19.68855004,0.0,-41.10116224,-4.67660182,-10.94306722,120.02006259,11.52467392,14.70008338,80.72585953,81.99158677,78.44104927,-17.70096382,5.36124373,41.30774837,61.69225374
0.2,-16.57014163,-7.23913448,-7.75447997,0.22472729,0.46825168,-0.02834731,69.43503653,-24.27851692,-4.99501806,133.77448201,24.0343577,-2.42194132,0.0,119.34676575,-4.26125259,1.28346303,69.98958601,-7.4987686,-19.99458757,0.0,-40.98974123,-5.71657275,-9.07162663,110.49150119,12.03347914,13.25681626,88.62145003,81.64965177,71.13633152,-16.78034151,4.56155726,43.16445394,62.44968549
0.2166667,-16.61167058,-7.15785363,-6.45649498,0.22532278,0.46076213,-0.02827937,68.50318189,-24.93239364,-4.69318459,134.35418722,25.68267442,-2.56665246,0.0,119.99999986,-4.89191423,-1.22405847,71.03487313,-4.56860118,-18.01958576,0.0,-41.1288599,-6.34936417,-6.94722866,105.48212187,12.1949411,11.69914193,92.79330285,81.32434394,66.70337314,-15.89373441,3.91099474,44.24507889,63.24518573
0.2333333,-15.3802457,-7.02359353,-5.2334378,0.22330807,0.45444745,-0.0308678,67.34936304,-26.06434317,-3.61476507,135.27696904,27.40080265,0.57916444,0.0,119.99999986,-5.34221761,-3.70569187,72.21074704,-3.20530036,-16.4056565,0.0,-42.42743612,-6.91612846,-5.26171466,103.26720373,12.43741191,9.21264855,92.56607365,81.11543524,64.64801733,-15.65102713,4.1151805,44.08374799,63.93936127
0.25,-14.65070028,-6.63649887,-4.43566263,0.2170088,0.45326012,-0.03062157,67.63225163,-26.31523489,-2.5010268,135.59668441,28.93958182,2.38843298,0.0,119.99999986,-5.9068858,-5.72125428,72.65572156,-2.82454262,-14.51906006,0.0,-43.35537467,-7.65436045,-3.47905367,102.99939929,12.22205529,7.03308392,90.89961525,81.39631567,63.69660879,-15.53777376,6.1640421,43.84383533,67.20997215
0.2666667,-14.48987556,-6.75076728,-3.36348192,0.22104612,0.45507022,-0.02885828,66.77862235,-26.01749089,-2.5567567,134.99838748,31.78438094,6.22576435,0.0,119.99999986,-6.50508051,-7.4936091,72.85646478,-2.39389299,-11.29335328,0.0,-43.26806685,-7.55731512,-1.4510474,101.79925285,11.61561824,5.94341042,89.79607405,81.50343869,61.47211622,-14.43026578,6.58005046,44.63491199,67.84605077
0.2833333,-14.97979285,-6.11715876,-1.94713142,0.20141447,0.45712754,-0.03526377,70.43014957,-25.37381183,-2.39971193,133.20105777,47.3849281,24.4719614,0.0,119.12331244,-5.96317697,-10.10887567,70.45117684,-3.87590479,-7.90331924,0.0,-42.90469285,-7.58802915,-0.13581033,102.07536558,10.34776995,4.29049271,87.06333424,81.64790285,60.31755865,-12.7535465,7.40661842,45.09586749,68.72084737
0.3,-13.60501058,-5.3970423,-1.0705243,0.20217667,0.46075207,-0.03712103,68.44396802,-25.73929951,0.53160808,133.77919045,47.94861978,28.78173992,0.0,117.24923792,-5.57293884,-11.28232494,69.00122431,-5.4437224,-6.21271271,0.0,-44.12965527,-7.67749722,1.54871512,102.19422028,8.6094923,3.63407103,82.83194342,82.0200181,58.32787778,-10.60744542,8.03766904,45.04730734,69.99329376
0.3166667,-13.18410573,-5.12160282,-0.1691181,0.20933703,0.46892479,-0.0338389,68.868903,-24.42663445,1.08756602,131.91912204,50.0,35.0,0.0,115.1358345,-5.20041939,-12.469882,67.59363309,-4.33931792,-3.69196947,0.0,-44.81583968,-7.12221777,2.93069769,100.73236914,8.22012755,3.18250462,81.93662822,83.49547545,53.94964243,-9.53811232,6.33408839,48.16787311,73.6390109
0.3333333,-14.05448867,-4.51073497,0.43570233,0.19952208,0.47229564,-0.04038432,67.89225484,-23.90062572,2.16608661,131.102707,50.0,35.0,0.0,114.53658824,-4.82289646,-13.76091057,65.75681858,-4.67730771,-1.35916416,0.0,-44.03187367,-6.52385415,4.45398611,99.22622101,7.379717,3.3209916,79.82784631,83.68670273,50.55319664,-7.7014281,6.4741668,47.49001963,74.13146606
0.35,-13.35094962,-3.90656421,0.65431654,0.19609764,0.47876284,-0.04684067,65.08723568,-23.97181055,4.20968417,131.50754136,50.0,31.10611842,0.0,112.25856522,-4.3146294,-14.42338799,63.34274874,-3.58354712,-0.72030506,0.0,-44.12826003,-6.30259296,5.44694356,97.31518802,6.56324523,3.61715615,78.46563228,83.79661745,46.14575453,-6.16241565,6.31142284,46.76208798,74.56946876
0.3666667,-12.26236964,-3.43070205,1.64048546,0.18485968,0.48276909,-0.04625158,62.8048266,-23.98340023,5.03681668,131.67046253,50.0,25.34569898,0.0,109.69358603,-2.92995669,-15.4165555,60.9336506,-3.47023733,-0.6298719,0.0,-44.01440703,-5.79928635,5.85659204,97.07150163,4.75785715,5.9552425,73.61180595,84.1314006,41.51558369,-5.54144695,5.85840298,47.03849497,75.36191628
0.3833333,-9.97594453,-2.27340851,2.12453317,0.17767073,0.49494891,-0.04447807,59.46648449,-23.90168094,5.81638502,131.43463876,50.0,20.08985748,0.0,105.60844401,-1.97930035,-15.54884867,58.50893348,-3.50021068,-1.01299715,0.0,-45.06928076,-6.48129247,6.32382263,96.04173412,3.43493408,8.39040138,66.32824828,84.65245644,36.91754929,-5.28520747,5.6628723,47.88935321,75.8612774
0.4,-7.64666814,-0.77520505,2.01223607,0.1678549,0.50491815,-0.04081043,58.05342119,-23.21523319,6.39600821,131.08375315,50.0,16.53260944,0.0,101.65033593,-1.31459903,-15.41751684,55.96742815,-4.30266283,-2.28826065,0.0,-46.28202828,-7.99514653,7.09255826,94.62927341,1.99442372,10.60175976,60.42584235,85.12103748,32.1747846,-5.64386398,5.79053528,50.66454403,76.13370015
0.4166667,-5.57373471,0.55128787,1.77321215,0.15670133,0.50559979,-0.0380441,57.32054732,-22.9016821,7.42886496,131.84894118,50.0,13.29863889,0.0,98.65888681,-0.68726161,-14.61400164,53.66482128,-5.84900611,-3.36251631,0.0,-46.85153547,-9.38766803,8.36990303,92.78258494,1.10800755,13.88759375,55.01289287,85.47922302,28.85712236,-6.21542659,6.94068095,51.58746875,76.10428334
0.4333333,-3.74517582,1.36148936,1.21374868,0.13852069,0.50283826,-0.03651023,58.12449433,-21.9747491,8.36580555,132.39056956,50.0,11.76784044,0.0,96.02664337,-0.1525207,-13.66710092,50.46858281,-8.62165649,-5.50421486,0.0,-46.84480108,-10.2482335,11.09644439,90.62986361,0.51290572,17.36190696,50.92236013,85.56857888,25.94366463,-6.8445078,9.02268663,52.89256925,75.97047955
0.45,-1.09497239,1.55884267,2.37699846,0.13472744,0.50377503,-0.03186197,57.7296071,-22.98079992,8.73987409,133.82967582,50.0,12.06618436,0.0,93.36370393,1.55830337,-12.49617973,49.42552662,-9.16584346,-6.43983438,0.0,-47.03303034,-9.32269201,13.85943182,88.18564329,-0.51513622,23.40069877,46.35818915,81.66317671,24.01000931,-7.89495347,12.98168021,51.81112434,71.56487946
0.4666667,1.77693679,1.73986018,3.61955302,0.12391956,0.50940678,-0.02799975,56.45643327,-23.92151435,7.85111587,133.7739686,50.0,12.67186695,0.0,90.13448358,3.20794643,-11.50112996,48.02828793,-10.10811507,-8.19747575,0.0,-47.57421942,-8.40095181,16.38400977,85.54673117,-0.18183474,24.98750768,41.43727722,81.17928064,22.1036643,-9.63995332,16.47659663,50.33807916,71.45401082
